"outcome_name","bias_est","bias_se","bias_p","before_est","before_se","after_est","after_se"
"visits_acute_kidney_injury",0.0555538258464905,0.72267466163365,0.938724954888722,0.450201001942909,0.577249995682487,0.394647176096418,0.924919577089133
"visits_acute_respiratory_distress_syndrome",0.0555538258464905,0.72267466163365,0.938724954888722,2.14398006275594,1.1589409078895,2.08842623690945,1.36579745736586
"visits_arrythmias",0.0555538258464905,0.72267466163365,0.938724954888722,-12.9033398870867,0.777432262628902,-12.9588937129332,1.06144222148151
"visits_fluid_and_electrolyte",0.0555538258464905,0.72267466163365,0.938724954888722,-1.5040773967141,1.05667989029648,-1.55963122256059,1.28016837061548
"visits_heart_disease",0.0555538258464905,0.72267466163365,0.938724954888722,-0.128933561822393,0.535406090071138,-0.184487387668884,0.899398881393886
"visits_myocarditis",0.0555538258464905,0.72267466163365,0.938724954888722,-0.579818495251829,0.728657427819714,-0.635372321098319,1.02625548168288
"visits_myositis",0.0555538258464905,0.72267466163365,0.938724954888722,0.612725613248905,0.544274723383941,0.557171787402415,0.904706383906942
"visits_pots",0.0555538258464905,0.72267466163365,0.938724954888722,0.123481009931307,0.453919214681939,0.0679271840848162,0.853405718298617
"visits_thrombophlebitis_and_thromboembolism",0.0555538258464905,0.72267466163365,0.938724954888722,-0.109199323259108,0.513502167651687,-0.164753149105599,0.886534343807555
"visits_abdominal_pain",0.0555538258464905,0.72267466163365,0.938724954888722,-1.20861315782666,0.51140856708058,-1.26416698367315,0.885323324583015
"visits_abnormal_liver_enzymes",0.0555538258464905,0.72267466163365,0.938724954888722,-1.72878467000516,1.05442489934442,-1.78433849585165,1.27830768398097
"visits_cardiovascular_signs_and_sx",0.0555538258464905,0.72267466163365,0.938724954888722,-0.510825623765822,0.912865050012176,-0.566379449612312,1.16429432108082
"visits_changes_in_taste_and_smell",0.0555538258464905,0.72267466163365,0.938724954888722,-0.559615786915122,0.758392598869382,-0.615169612761613,1.04757720507234
"visits_chest_pain",0.0555538258464905,0.72267466163365,0.938724954888722,0.514153276108327,0.623793266006743,0.458599450261837,0.954660518342866
"visits_cognitive_function",0.0555538258464905,0.72267466163365,0.938724954888722,0.885038050838615,0.680458242628974,0.829484224992124,0.992613765031002
"visits_fatigue_and_malaise",0.0555538258464905,0.72267466163365,0.938724954888722,0.635988766719797,0.56251444973742,0.580434940873306,0.915795377107082
"visits_fever_and_chills",0.0555538258464905,0.72267466163365,0.938724954888722,-13.1620375945175,0.47912261343174,-13.217591420364,0.867073898389849
"visits_generalized_pain",0.0555538258464905,0.72267466163365,0.938724954888722,0.764098916525548,0.531069896785986,0.708545090679058,0.896824342800521
"visits_hair_loss",0.0555538258464905,0.72267466163365,0.938724954888722,-0.637057567394135,0.613328102145772,-0.692611393240625,0.947855488694898
"visits_headache",0.0555538258464905,0.72267466163365,0.938724954888722,-0.0565703514349432,0.713746250853943,-0.112124177281434,1.01572258869013
"visits_mental_health",0.0555538258464905,0.72267466163365,0.938724954888722,0.223143424837075,0.836795862893195,0.167589598990585,1.10566088052462
"visits_musculoskeletal",0.0555538258464905,0.72267466163365,0.938724954888722,-0.587786665112381,0.934347433263133,-0.643340490958872,1.18121284814072
"visits_respiratory_signs_and_sx",0.0555538258464905,0.72267466163365,0.938724954888722,-0.306031187058015,0.544354323050198,-0.361585012904505,0.904754273596289
"visits_skin",0.0555538258464905,0.72267466163365,0.938724954888722,-13.494208273846,0.689197368716607,-13.5497620996925,0.998624894348826
"visits_at_least_one_incident",0.0555538258464905,0.72267466163365,0.938724954888722,-0.0343824321303562,0.115050726407819,-0.0899362579768467,0.731775468442525
"visits_systematic",0.0555538258464905,0.72267466163365,0.938724954888722,0.152725839880715,0.193562044665958,0.0971720140342248,0.748147667043463
"visits_syndromic",0.0555538258464905,0.72267466163365,0.938724954888722,-0.203683841281773,0.153556509632491,-0.259237667128263,0.738808681742319
